,seller,offerType,price,abtest,vehicleType,gearbox,powerPS,model,kilometer,fuelType,brand,notRepairedDamage,Age
0,privat,Angebot,5000,control,bus,manuell,158,andere,150000,lpg,peugeot,nein,17.25
1,privat,Angebot,8500,control,limousine,automatik,286,7er,150000,benzin,bmw,nein,24.5
2,privat,Angebot,8990,test,limousine,manuell,102,golf,70000,benzin,volkswagen,nein,12.58
3,privat,Angebot,4350,control,kleinwagen,automatik,71,fortwo,70000,benzin,smart,nein,14.5
5,privat,Angebot,7900,test,bus,automatik,150,voyager,150000,diesel,chrysler,,15.33
6,privat,Angebot,300,test,limousine,manuell,90,golf,150000,benzin,volkswagen,,26.67
7,privat,Angebot,1990,control,limousine,manuell,90,golf,150000,diesel,volkswagen,nein,24.0
9,privat,Angebot,590,control,bus,manuell,90,megane,150000,benzin,renault,nein,24.58
10,privat,Angebot,999,test,,manuell,90,,150000,benzin,volkswagen,nein,4.33
12,privat,Angebot,5299,control,kleinwagen,automatik,71,fortwo,50000,benzin,smart,nein,11.75
13,privat,Angebot,1350,control,limousine,manuell,101,a3,150000,benzin,audi,nein,22.92
14,privat,Angebot,3999,test,kleinwagen,manuell,75,clio,150000,benzin,renault,,14.75
15,privat,Angebot,18900,test,coupe,automatik,203,,80000,benzin,sonstige_autos,nein,39.5
16,privat,Angebot,350,test,kombi,manuell,101,vectra,150000,benzin,opel,nein,22.42
17,privat,Angebot,5500,test,coupe,manuell,205,scirocco,150000,benzin,volkswagen,nein,31.5
18,privat,Angebot,300,control,bus,manuell,150,3er,150000,benzin,bmw,,26.0
19,privat,Angebot,4150,control,suv,manuell,124,andere,150000,lpg,mazda,nein,17.17
20,privat,Angebot,3500,test,kombi,manuell,131,a4,150000,diesel,audi,,18.42
21,privat,Angebot,41500,test,cabrio,manuell,320,911,150000,benzin,porsche,nein,17.33
22,privat,Angebot,25450,control,cabrio,manuell,184,cooper,10000,benzin,mini,nein,6.08
23,privat,Angebot,7999,control,bus,manuell,120,,150000,diesel,peugeot,nein,11.17
24,privat,Angebot,48500,control,limousine,automatik,306,5er,30000,benzin,bmw,nein,8.0
26,privat,Angebot,777,control,kleinwagen,manuell,54,polo,125000,benzin,volkswagen,nein,29.17
28,privat,Angebot,5250,control,kleinwagen,manuell,110,cooper,150000,diesel,mini,ja,14.58
29,privat,Angebot,4999,test,kombi,automatik,204,e_klasse,150000,diesel,mercedes_benz,nein,17.83
31,privat,Angebot,2850,test,kombi,automatik,218,c_klasse,150000,benzin,mercedes_benz,nein,19.58
33,privat,Angebot,4800,test,kombi,manuell,140,a3,150000,diesel,audi,nein,15.67
34,privat,Angebot,2600,test,kombi,automatik,193,5er,150000,diesel,bmw,,21.5
36,privat,Angebot,7500,test,kombi,manuell,131,mondeo,150000,diesel,ford,nein,14.92
37,privat,Angebot,13800,test,bus,manuell,140,altea,90000,diesel,seat,nein,9.17
38,privat,Angebot,2850,control,limousine,manuell,75,golf,125000,benzin,volkswagen,nein,19.17
39,privat,Angebot,1450,test,kombi,automatik,122,c_klasse,150000,benzin,mercedes_benz,nein,22.5
40,privat,Angebot,3500,control,cabrio,manuell,150,golf,150000,benzin,volkswagen,nein,22.08
41,privat,Angebot,3200,test,kombi,manuell,131,,150000,,volkswagen,nein,18.58
42,privat,Angebot,11900,control,kleinwagen,manuell,60,polo,20000,benzin,volkswagen,,7.58
43,privat,Angebot,11500,test,kleinwagen,manuell,86,a1,60000,benzin,audi,nein,10.75
44,privat,Angebot,900,control,kleinwagen,manuell,43,twingo,150000,benzin,renault,nein,23.58
45,privat,Angebot,1000,test,kleinwagen,manuell,75,andere,150000,benzin,toyota,nein,26.25
47,privat,Angebot,3499,control,limousine,manuell,95,a_klasse,150000,benzin,mercedes_benz,nein,13.67
48,privat,Angebot,1099,test,limousine,manuell,122,c_klasse,150000,benzin,mercedes_benz,nein,23.17
49,privat,Angebot,56000,control,coupe,automatik,435,cl,60000,benzin,mercedes_benz,nein,9.17
50,privat,Angebot,5999,test,kombi,manuell,150,3_reihe,125000,benzin,peugeot,nein,13.67
51,privat,Angebot,6000,control,limousine,automatik,204,s_klasse,150000,diesel,mercedes_benz,ja,16.58
53,privat,Angebot,9000,control,limousine,manuell,84,sandero,30000,benzin,dacia,nein,9.58
54,privat,Angebot,2500,control,limousine,manuell,116,focus,125000,benzin,ford,nein,17.75
56,privat,Angebot,650,test,kleinwagen,manuell,58,clio,125000,benzin,renault,,24.58
57,privat,Angebot,4100,test,kombi,manuell,140,passat,150000,diesel,volkswagen,nein,14.17
58,privat,Angebot,4200,control,limousine,manuell,75,golf,125000,benzin,volkswagen,nein,17.92
